"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions"
"1050","LN864819.1","Desulfitobacterium_hafniense_Y51_","57","69","68","5077","72382"
"1051","NZ_KX523901.1","Desulfitobacterium_hafniense_Y51_","12","0","0","5077","72382"
"1052","MT441554.1","Desulfitobacterium_hafniense_Y51_","18","0","0","5077","72382"
"1053","JN626286.1","Lachnobacterium_bovis_","37","0","0","2748","50371"
"1054","LN864819.1","Lachnobacterium_bovis_","57","0","0","2748","50371"
"1055","NZ_KX523901.1","Lachnobacterium_bovis_","12","0","0","2748","50371"
"1056","MT441554.1","Lachnobacterium_bovis_","18","0","0","2748","50371"
"1057","JN626286.1","Zobellia_uliginosa_","37","0","0","4340","70588"
"1058","LN864819.1","Zobellia_uliginosa_","57","0","0","4340","70588"
"1059","NZ_KX523901.1","Zobellia_uliginosa_","12","0","0","4340","70588"
"1060","MT441554.1","Zobellia_uliginosa_","18","0","0","4340","70588"
"1061","JN626286.1","Prochlorococcus_marinus_str._AS9601_","37","0","0","1921","28490"
"1062","LN864819.1","Prochlorococcus_marinus_str._AS9601_","57","0","0","1921","28490"
"1063","NZ_KX523901.1","Prochlorococcus_marinus_str._AS9601_","12","31","42","1921","28490"
"1064","MT441554.1","Prochlorococcus_marinus_str._AS9601_","18","31","42","1921","28490"
"1065","JN626286.1","Streptomyces_griseofuscus_","37","0","0","7996","150012"
"1066","LN864819.1","Streptomyces_griseofuscus_","57","0","0","7996","150012"
"1067","NZ_KX523901.1","Streptomyces_griseofuscus_","12","0","0","7996","150012"
"1068","MT441554.1","Streptomyces_griseofuscus_","18","0","0","7996","150012"
"1069","JN626286.1","Lactobacillus_kunkeei_","37","24","23","1361","17451"
"1070","LN864819.1","Lactobacillus_kunkeei_","57","24","23","1361","17451"
"1071","NZ_KX523901.1","Lactobacillus_kunkeei_","12","0","0","1361","17451"
"1072","MT441554.1","Lactobacillus_kunkeei_","18","21","20","1361","17451"
"1073","JN626286.1","Kozakia_baliensis_","37","16","15","2947","31716"
"1074","LN864819.1","Kozakia_baliensis_","57","16","15","2947","31716"
"1075","NZ_KX523901.1","Kozakia_baliensis_","12","0","0","2947","31716"
"1076","MT441554.1","Kozakia_baliensis_","18","0","0","2947","31716"
"1077","JN626286.1","Sporocytophaga_myxococcoides_","37","0","0","5042","80301"
"1078","LN864819.1","Sporocytophaga_myxococcoides_","57","0","0","5042","80301"
"1079","NZ_KX523901.1","Sporocytophaga_myxococcoides_","12","0","0","5042","80301"
"1080","MT441554.1","Sporocytophaga_myxococcoides_","18","0","0","5042","80301"
"1081","JN626286.1","Nitrosomonas_sp._AL212_","37","0","0","2918","28318"
"1082","LN864819.1","Nitrosomonas_sp._AL212_","57","0","0","2918","28318"
"1083","NZ_KX523901.1","Nitrosomonas_sp._AL212_","12","0","0","2918","28318"
"1084","MT441554.1","Nitrosomonas_sp._AL212_","18","15","14","2918","28318"
"1085","JN626286.1","Gallibacterium_genomosp._1_","37","27","26","2072","32156"
"1086","LN864819.1","Gallibacterium_genomosp._1_","57","27","26","2072","32156"
"1087","NZ_KX523901.1","Gallibacterium_genomosp._1_","12","0","0","2072","32156"
"1088","MT441554.1","Gallibacterium_genomosp._1_","18","18","17","2072","32156"
"1089","JN626286.1","Escherichia_coli_O157:H7_str._EDL933_","37","99","95","5772","75020"
"1090","LN864819.1","Escherichia_coli_O157:H7_str._EDL933_","57","67","64","5772","75020"
"1091","NZ_KX523901.1","Escherichia_coli_O157:H7_str._EDL933_","12","21","20","5772","75020"
"1092","MT441554.1","Escherichia_coli_O157:H7_str._EDL933_","18","116","113","5772","75020"
"1093","JN626286.1","Alteromonadales_bacterium_TW-7_","37","0","0","3786","66104"
"1094","LN864819.1","Alteromonadales_bacterium_TW-7_","57","0","0","3786","66104"
"1095","NZ_KX523901.1","Alteromonadales_bacterium_TW-7_","12","0","0","3786","66104"
"1096","MT441554.1","Alteromonadales_bacterium_TW-7_","18","20","19","3786","66104"
"1097","JN626286.1","Magnetococcus_marinus_MC-1_","37","0","0","3784","58099"
"1098","LN864819.1","Magnetococcus_marinus_MC-1_","57","0","0","3784","58099"
"1099","NZ_KX523901.1","Magnetococcus_marinus_MC-1_","12","0","0","3784","58099"
"1100","MT441554.1","Magnetococcus_marinus_MC-1_","18","17","16","3784","58099"
"1101","JN626286.1","Corynebacterium_imitans_","37","36","36","2013","20569"
"1102","LN864819.1","Corynebacterium_imitans_","57","49","49","2013","20569"
"1103","NZ_KX523901.1","Corynebacterium_imitans_","12","0","0","2013","20569"
"1104","MT441554.1","Corynebacterium_imitans_","18","19","18","2013","20569"
"1105","JN626286.1","Pseudomonas_cremoricolorata_","37","25","24","4042","51312"
"1106","LN864819.1","Pseudomonas_cremoricolorata_","57","25","24","4042","51312"
"1107","NZ_KX523901.1","Pseudomonas_cremoricolorata_","12","0","0","4042","51312"
"1108","MT441554.1","Pseudomonas_cremoricolorata_","18","17","16","4042","51312"
"1109","JN626286.1","Sphaerochaeta_globosa_str._Buddy_","37","0","0","3017","35084"
"1110","LN864819.1","Sphaerochaeta_globosa_str._Buddy_","57","0","0","3017","35084"
"1111","NZ_KX523901.1","Sphaerochaeta_globosa_str._Buddy_","12","0","0","3017","35084"
"1112","MT441554.1","Sphaerochaeta_globosa_str._Buddy_","18","0","0","3017","35084"
"1113","JN626286.1","Sphaerochaeta_pleomorpha_str._Grapes_","37","0","0","3159","34647"
"1114","LN864819.1","Sphaerochaeta_pleomorpha_str._Grapes_","57","0","0","3159","34647"
"1115","NZ_KX523901.1","Sphaerochaeta_pleomorpha_str._Grapes_","12","0","0","3159","34647"
"1116","MT441554.1","Sphaerochaeta_pleomorpha_str._Grapes_","18","0","0","3159","34647"
"1117","JN626286.1","Novosphingobium_resinovorum_","37","75","126","5737","81488"
"1118","LN864819.1","Novosphingobium_resinovorum_","57","75","126","5737","81488"
"1119","NZ_KX523901.1","Novosphingobium_resinovorum_","12","58","57","5737","81488"
"1120","MT441554.1","Novosphingobium_resinovorum_","18","0","0","5737","81488"
"1121","JN626286.1","Bifidobacterium_scardovii_","37","0","0","2483","26150"
"1122","LN864819.1","Bifidobacterium_scardovii_","57","0","0","2483","26150"
"1123","NZ_KX523901.1","Bifidobacterium_scardovii_","12","0","0","2483","26150"
"1124","MT441554.1","Bifidobacterium_scardovii_","18","12","11","2483","26150"
"1125","JN626286.1","Cedecea_neteri_","37","90","89","4155","101707"
"1126","LN864819.1","Cedecea_neteri_","57","90","89","4155","101707"
"1127","NZ_KX523901.1","Cedecea_neteri_","12","0","0","4155","101707"
"1128","MT441554.1","Cedecea_neteri_","18","133","132","4155","101707"
"1129","JN626286.1","Dechloromonas_aromatica_RCB_","37","32","31","4181","76493"
"1130","LN864819.1","Dechloromonas_aromatica_RCB_","57","32","31","4181","76493"
"1131","NZ_KX523901.1","Dechloromonas_aromatica_RCB_","12","0","0","4181","76493"
"1132","MT441554.1","Dechloromonas_aromatica_RCB_","18","39","38","4181","76493"
"1133","JN626286.1","Burkholderia_sacchari_","37","35","34","5732","118180"
"1134","LN864819.1","Burkholderia_sacchari_","57","35","34","5732","118180"
"1135","NZ_KX523901.1","Burkholderia_sacchari_","12","0","0","5732","118180"
"1136","MT441554.1","Burkholderia_sacchari_","18","32","31","5732","118180"
"1137","JN626286.1","Pseudomonas_putida_KT2440_","37","320","333","5369","93401"
"1138","LN864819.1","Pseudomonas_putida_KT2440_","57","299","313","5369","93401"
"1139","NZ_KX523901.1","Pseudomonas_putida_KT2440_","12","76","75","5369","93401"
"1140","MT441554.1","Pseudomonas_putida_KT2440_","18","93","94","5369","93401"
"1141","JN626286.1","Xylella_fastidiosa_9a5c_","37","13","12","2882","34001"
"1142","LN864819.1","Xylella_fastidiosa_9a5c_","57","13","12","2882","34001"
"1143","NZ_KX523901.1","Xylella_fastidiosa_9a5c_","12","0","0","2882","34001"
"1144","MT441554.1","Xylella_fastidiosa_9a5c_","18","28","27","2882","34001"
"1145","JN626286.1","Paenibacillus_borealis_","37","0","0","6213","106972"
"1146","LN864819.1","Paenibacillus_borealis_","57","0","0","6213","106972"
"1147","NZ_KX523901.1","Paenibacillus_borealis_","12","0","0","6213","106972"
"1148","MT441554.1","Paenibacillus_borealis_","18","0","0","6213","106972"
"1149","JN626286.1","Thermodesulfobacterium_hydrogeniphilum_","37","0","0","1681","29827"
"1150","LN864819.1","Thermodesulfobacterium_hydrogeniphilum_","57","0","0","1681","29827"
"1151","NZ_KX523901.1","Thermodesulfobacterium_hydrogeniphilum_","12","0","0","1681","29827"
"1152","MT441554.1","Thermodesulfobacterium_hydrogeniphilum_","18","0","0","1681","29827"
"1153","JN626286.1","Erythrobacter_sp._SD-21_","37","0","0","2943","48564"
"1154","LN864819.1","Erythrobacter_sp._SD-21_","57","0","0","2943","48564"
"1155","NZ_KX523901.1","Erythrobacter_sp._SD-21_","12","0","0","2943","48564"
"1156","MT441554.1","Erythrobacter_sp._SD-21_","18","0","0","2943","48564"
"1157","JN626286.1","Wolbachia_endosymbiont_of_Drosophila_melanogaster_","37","43","42","1202","18563"
"1158","LN864819.1","Wolbachia_endosymbiont_of_Drosophila_melanogaster_","57","43","42","1202","18563"
"1159","NZ_KX523901.1","Wolbachia_endosymbiont_of_Drosophila_melanogaster_","12","43","42","1202","18563"
"1160","MT441554.1","Wolbachia_endosymbiont_of_Drosophila_melanogaster_","18","43","42","1202","18563"
"1161","JN626286.1","Anabaena_sp._PCC_7108_","37","0","0","5120","83906"
"1162","LN864819.1","Anabaena_sp._PCC_7108_","57","0","0","5120","83906"
"1163","NZ_KX523901.1","Anabaena_sp._PCC_7108_","12","0","0","5120","83906"
"1164","MT441554.1","Anabaena_sp._PCC_7108_","18","0","0","5120","83906"
"1165","JN626286.1","Mycobacterium_sp._JLS_","37","0","0","5739","84283"
"1166","LN864819.1","Mycobacterium_sp._JLS_","57","0","0","5739","84283"
"1167","NZ_KX523901.1","Mycobacterium_sp._JLS_","12","0","0","5739","84283"
"1168","MT441554.1","Mycobacterium_sp._JLS_","18","0","0","5739","84283"
"1169","JN626286.1","Synechococcus_sp._WH_8109_","37","39","39","2641","26154"
"1170","LN864819.1","Synechococcus_sp._WH_8109_","57","39","39","2641","26154"
"1171","NZ_KX523901.1","Synechococcus_sp._WH_8109_","12","52","63","2641","26154"
"1172","MT441554.1","Synechococcus_sp._WH_8109_","18","52","63","2641","26154"
"1173","JN626286.1","Synechococcus_sp._WH_8016_","37","0","0","2992","39062"
"1174","LN864819.1","Synechococcus_sp._WH_8016_","57","0","0","2992","39062"
"1175","NZ_KX523901.1","Synechococcus_sp._WH_8016_","12","0","0","2992","39062"
"1176","MT441554.1","Synechococcus_sp._WH_8016_","18","0","0","2992","39062"
"1177","JN626286.1","Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_","37","0","0","1882","21151"
"1178","LN864819.1","Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_","57","0","0","1882","21151"
"1179","NZ_KX523901.1","Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_","12","15","14","1882","21151"
"1180","MT441554.1","Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_","18","15","14","1882","21151"
"1181","JN626286.1","Prochlorococcus_marinus_str._MIT_9515_","37","0","0","1906","20784"
"1182","LN864819.1","Prochlorococcus_marinus_str._MIT_9515_","57","0","0","1906","20784"
"1183","NZ_KX523901.1","Prochlorococcus_marinus_str._MIT_9515_","12","32","44","1906","20784"
"1184","MT441554.1","Prochlorococcus_marinus_str._MIT_9515_","18","32","44","1906","20784"
"1185","JN626286.1","Prochlorococcus_marinus_str._MIT_9301_","37","0","0","1907","20913"
"1186","LN864819.1","Prochlorococcus_marinus_str._MIT_9301_","57","0","0","1907","20913"
"1187","NZ_KX523901.1","Prochlorococcus_marinus_str._MIT_9301_","12","31","42","1907","20913"
"1188","MT441554.1","Prochlorococcus_marinus_str._MIT_9301_","18","31","42","1907","20913"
"1189","JN626286.1","Prochlorococcus_marinus_str._MIT_9314_","37","0","0","1976","26427"
"1190","LN864819.1","Prochlorococcus_marinus_str._MIT_9314_","57","0","0","1976","26427"
"1191","NZ_KX523901.1","Prochlorococcus_marinus_str._MIT_9314_","12","0","0","1976","26427"
"1192","MT441554.1","Prochlorococcus_marinus_str._MIT_9314_","18","0","0","1976","26427"
"1193","JN626286.1","Prochlorococcus_marinus_str._MIT_9322_","37","0","0","1939","26295"
"1194","LN864819.1","Prochlorococcus_marinus_str._MIT_9322_","57","0","0","1939","26295"
"1195","NZ_KX523901.1","Prochlorococcus_marinus_str._MIT_9322_","12","0","0","1939","26295"
"1196","MT441554.1","Prochlorococcus_marinus_str._MIT_9322_","18","0","0","1939","26295"
"1197","JN626286.1","Prochlorococcus_marinus_str._NATL1A_","37","0","0","2193","20865"
"1198","LN864819.1","Prochlorococcus_marinus_str._NATL1A_","57","0","0","2193","20865"
"1199","NZ_KX523901.1","Prochlorococcus_marinus_str._NATL1A_","12","35","49","2193","20865"
"1200","MT441554.1","Prochlorococcus_marinus_str._NATL1A_","18","35","49","2193","20865"
"1201","JN626286.1","Listeria_monocytogenes_EGD-e_","37","114","140","2871","48891"
"1202","LN864819.1","Listeria_monocytogenes_EGD-e_","57","114","140","2871","48891"
"1203","NZ_KX523901.1","Listeria_monocytogenes_EGD-e_","12","70","68","2871","48891"
"1204","MT441554.1","Listeria_monocytogenes_EGD-e_","18","97","102","2871","48891"
"1205","JN626286.1","Streptococcus_pneumoniae_TIGR4_","37","40","39","2131","29842"
"1206","LN864819.1","Streptococcus_pneumoniae_TIGR4_","57","40","39","2131","29842"
"1207","NZ_KX523901.1","Streptococcus_pneumoniae_TIGR4_","12","40","39","2131","29842"
"1208","MT441554.1","Streptococcus_pneumoniae_TIGR4_","18","40","39","2131","29842"
"1209","JN626286.1","Streptococcus_pneumoniae_R6_","37","0","0","2047","29548"
"1210","LN864819.1","Streptococcus_pneumoniae_R6_","57","30","29","2047","29548"
"1211","NZ_KX523901.1","Streptococcus_pneumoniae_R6_","12","0","0","2047","29548"
"1212","MT441554.1","Streptococcus_pneumoniae_R6_","18","0","0","2047","29548"
"1213","JN626286.1","Oceanobacillus_picturae_","37","98","102","3666","56503"
"1214","LN864819.1","Oceanobacillus_picturae_","57","168","173","3666","56503"
"1215","NZ_KX523901.1","Oceanobacillus_picturae_","12","79","78","3666","56503"
"1216","MT441554.1","Oceanobacillus_picturae_","18","79","78","3666","56503"
"1217","JN626286.1","Elizabethkingia_miricola_","37","45","47","4052","47576"
"1218","LN864819.1","Elizabethkingia_miricola_","57","45","47","4052","47576"
"1219","NZ_KX523901.1","Elizabethkingia_miricola_","12","18","17","4052","47576"
"1220","MT441554.1","Elizabethkingia_miricola_","18","18","17","4052","47576"
"1221","JN626286.1","Bradyrhizobium_sp._th.b2_","37","0","0","8523","164571"
"1222","LN864819.1","Bradyrhizobium_sp._th.b2_","57","0","0","8523","164571"
"1223","NZ_KX523901.1","Bradyrhizobium_sp._th.b2_","12","0","0","8523","164571"
"1224","MT441554.1","Bradyrhizobium_sp._th.b2_","18","0","0","8523","164571"
"1225","JN626286.1","Streptococcus_sinensis_","37","0","0","1992","28735"
"1226","LN864819.1","Streptococcus_sinensis_","57","0","0","1992","28735"
"1227","NZ_KX523901.1","Streptococcus_sinensis_","12","0","0","1992","28735"
"1228","MT441554.1","Streptococcus_sinensis_","18","0","0","1992","28735"
"1229","JN626286.1","Staphylococcus_epidermidis_RP62A_","37","112","122","2496","31659"
"1230","LN864819.1","Staphylococcus_epidermidis_RP62A_","57","112","122","2496","31659"
"1231","NZ_KX523901.1","Staphylococcus_epidermidis_RP62A_","12","93","91","2496","31659"
"1232","MT441554.1","Staphylococcus_epidermidis_RP62A_","18","58","62","2496","31659"
"1233","JN626286.1","Staphylococcus_epidermidis_ATCC_12228_","37","93","92","2439","28607"
"1234","LN864819.1","Staphylococcus_epidermidis_ATCC_12228_","57","120","118","2439","28607"
"1235","NZ_KX523901.1","Staphylococcus_epidermidis_ATCC_12228_","12","76","75","2439","28607"
"1236","MT441554.1","Staphylococcus_epidermidis_ATCC_12228_","18","44","45","2439","28607"
"1237","JN626286.1","Agrobacterium_fabrum_str._C58_","37","127","153","5165","74726"
"1238","LN864819.1","Agrobacterium_fabrum_str._C58_","57","154","197","5165","74726"
"1239","NZ_KX523901.1","Agrobacterium_fabrum_str._C58_","12","84","90","5165","74726"
"1240","MT441554.1","Agrobacterium_fabrum_str._C58_","18","113","123","5165","74726"
"1241","JN626286.1","Francisella_tularensis_subsp._tularensis_SCHU_S4_","37","82","94","1604","22135"
"1242","LN864819.1","Francisella_tularensis_subsp._tularensis_SCHU_S4_","57","77","89","1604","22135"
"1243","NZ_KX523901.1","Francisella_tularensis_subsp._tularensis_SCHU_S4_","12","47","46","1604","22135"
"1244","MT441554.1","Francisella_tularensis_subsp._tularensis_SCHU_S4_","18","71","76","1604","22135"
"1245","JN626286.1","Desulfobacterium_autotrophicum_HRM2_","37","67","84","4981","73293"
"1246","LN864819.1","Desulfobacterium_autotrophicum_HRM2_","57","74","98","4981","73293"
"1247","NZ_KX523901.1","Desulfobacterium_autotrophicum_HRM2_","12","7","6","4981","73293"
"1248","MT441554.1","Desulfobacterium_autotrophicum_HRM2_","18","24","22","4981","73293"
"1249","JN626286.1","Desulfotalea_psychrophila_LSv54_","37","0","0","3236","39863"
"1250","LN864819.1","Desulfotalea_psychrophila_LSv54_","57","0","0","3236","39863"
"1251","NZ_KX523901.1","Desulfotalea_psychrophila_LSv54_","12","0","0","3236","39863"
"1252","MT441554.1","Desulfotalea_psychrophila_LSv54_","18","0","0","3236","39863"
"1253","JN626286.1","Acetobacter_malorum_","37","0","0","3101","41374"
"1254","LN864819.1","Acetobacter_malorum_","57","0","0","3101","41374"
"1255","NZ_KX523901.1","Acetobacter_malorum_","12","0","0","3101","41374"
"1256","MT441554.1","Acetobacter_malorum_","18","0","0","3101","41374"
"1257","JN626286.1","Oscillatoria_nigro-viridis_PCC_7112_","37","19","18","5835","84838"
"1258","LN864819.1","Oscillatoria_nigro-viridis_PCC_7112_","57","19","18","5835","84838"
"1259","NZ_KX523901.1","Oscillatoria_nigro-viridis_PCC_7112_","12","0","0","5835","84838"
"1260","MT441554.1","Oscillatoria_nigro-viridis_PCC_7112_","18","0","0","5835","84838"
"1261","JN626286.1","Cyanobium_sp._PCC_7001_","37","72","71","2771","54830"
"1262","LN864819.1","Cyanobium_sp._PCC_7001_","57","158","157","2771","54830"
"1263","NZ_KX523901.1","Cyanobium_sp._PCC_7001_","12","52","59","2771","54830"
"1264","MT441554.1","Cyanobium_sp._PCC_7001_","18","52","59","2771","54830"
"1265","JN626286.1","Robinsoniella_peoriensis_","37","0","0","5905","121305"
"1266","LN864819.1","Robinsoniella_peoriensis_","57","0","0","5905","121305"
"1267","NZ_KX523901.1","Robinsoniella_peoriensis_","12","0","0","5905","121305"
"1268","MT441554.1","Robinsoniella_peoriensis_","18","0","0","5905","121305"
"1269","JN626286.1","Chlamydophila_pneumoniae_TW-183_","37","43","42","1113","11675"
"1270","LN864819.1","Chlamydophila_pneumoniae_TW-183_","57","43","42","1113","11675"
"1271","NZ_KX523901.1","Chlamydophila_pneumoniae_TW-183_","12","43","42","1113","11675"
"1272","MT441554.1","Chlamydophila_pneumoniae_TW-183_","18","48","47","1113","11675"
"1273","JN626286.1","Helicobacter_cetorum_MIT_00-7128_","37","16","15","1726","21960"
"1274","LN864819.1","Helicobacter_cetorum_MIT_00-7128_","57","16","15","1726","21960"
"1275","NZ_KX523901.1","Helicobacter_cetorum_MIT_00-7128_","12","0","0","1726","21960"
"1276","MT441554.1","Helicobacter_cetorum_MIT_00-7128_","18","0","0","1726","21960"
"1277","JN626286.1","Candidatus_Baumannia_cicadellinicola_","37","0","0","689","53054"
"1278","LN864819.1","Candidatus_Baumannia_cicadellinicola_","57","0","0","689","53054"
"1279","NZ_KX523901.1","Candidatus_Baumannia_cicadellinicola_","12","0","0","689","53054"
"1280","MT441554.1","Candidatus_Baumannia_cicadellinicola_","18","0","0","689","53054"
"1281","JN626286.1","Alkalilimnicola_ehrlichii_MLHE-1_","37","33","32","2867","40769"
"1282","LN864819.1","Alkalilimnicola_ehrlichii_MLHE-1_","57","33","32","2867","40769"
"1283","NZ_KX523901.1","Alkalilimnicola_ehrlichii_MLHE-1_","12","0","0","2867","40769"
"1284","MT441554.1","Alkalilimnicola_ehrlichii_MLHE-1_","18","16","15","2867","40769"
"1285","JN626286.1","Methylocystis_sp._SC2_","37","22","21","3673","40654"
"1286","LN864819.1","Methylocystis_sp._SC2_","57","22","21","3673","40654"
"1287","NZ_KX523901.1","Methylocystis_sp._SC2_","12","0","0","3673","40654"
"1288","MT441554.1","Methylocystis_sp._SC2_","18","16","15","3673","40654"
"1289","JN626286.1","Dermacoccus_sp._Ellin185_","37","0","0","2919","41839"
"1290","LN864819.1","Dermacoccus_sp._Ellin185_","57","58","57","2919","41839"
"1291","NZ_KX523901.1","Dermacoccus_sp._Ellin185_","12","0","0","2919","41839"
"1292","MT441554.1","Dermacoccus_sp._Ellin185_","18","18","17","2919","41839"
"1293","JN626286.1","Paenibacillus_graminis_","37","29","28","5584","87414"
"1294","LN864819.1","Paenibacillus_graminis_","57","29","28","5584","87414"
"1295","NZ_KX523901.1","Paenibacillus_graminis_","12","0","0","5584","87414"
"1296","MT441554.1","Paenibacillus_graminis_","18","23","22","5584","87414"
"1297","JN626286.1","Paenibacillus_odorifer_","37","0","0","5431","86230"
"1298","LN864819.1","Paenibacillus_odorifer_","57","0","0","5431","86230"
"1299","NZ_KX523901.1","Paenibacillus_odorifer_","12","0","0","5431","86230"
"1300","MT441554.1","Paenibacillus_odorifer_","18","0","0","5431","86230"
"1301","JN626286.1","Bradyrhizobium_sp._Ec3.3_","37","0","0","8503","201790"
"1302","LN864819.1","Bradyrhizobium_sp._Ec3.3_","57","0","0","8503","201790"
"1303","NZ_KX523901.1","Bradyrhizobium_sp._Ec3.3_","12","0","0","8503","201790"
"1304","MT441554.1","Bradyrhizobium_sp._Ec3.3_","18","0","0","8503","201790"
"1305","JN626286.1","Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586_","37","39","38","2078","22983"
"1306","LN864819.1","Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586_","57","39","38","2078","22983"
"1307","NZ_KX523901.1","Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586_","12","39","38","2078","22983"
"1308","MT441554.1","Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586_","18","39","38","2078","22983"
"1309","JN626286.1","Xanthomonas_axonopodis_pv._citri_str._306_","37","66","77","4365","59510"
"1310","LN864819.1","Xanthomonas_axonopodis_pv._citri_str._306_","57","75","87","4365","59510"
"1311","NZ_KX523901.1","Xanthomonas_axonopodis_pv._citri_str._306_","12","17","27","4365","59510"
"1312","MT441554.1","Xanthomonas_axonopodis_pv._citri_str._306_","18","35","44","4365","59510"
"1313","JN626286.1","Caulobacter_crescentus_CB15_","37","89","107","3746","50941"
"1314","LN864819.1","Caulobacter_crescentus_CB15_","57","89","107","3746","50941"
"1315","NZ_KX523901.1","Caulobacter_crescentus_CB15_","12","58","57","3746","50941"
"1316","MT441554.1","Caulobacter_crescentus_CB15_","18","76","78","3746","50941"
"1317","JN626286.1","Corynebacterium_atypicum_","37","0","0","1578","18109"
"1318","LN864819.1","Corynebacterium_atypicum_","57","0","0","1578","18109"
"1319","NZ_KX523901.1","Corynebacterium_atypicum_","12","0","0","1578","18109"
"1320","MT441554.1","Corynebacterium_atypicum_","18","15","14","1578","18109"
"1321","JN626286.1","Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_","37","155","175","1623","39308"
"1322","LN864819.1","Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_","57","155","175","1623","39308"
"1323","NZ_KX523901.1","Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_","12","62","61","1623","39308"
"1324","MT441554.1","Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_","18","113","115","1623","39308"
"1325","JN626286.1","Chlorobium_tepidum_TLS_","37","0","0","2718","25957"
"1326","LN864819.1","Chlorobium_tepidum_TLS_","57","0","0","2718","25957"
"1327","NZ_KX523901.1","Chlorobium_tepidum_TLS_","12","0","0","2718","25957"
"1328","MT441554.1","Chlorobium_tepidum_TLS_","18","6","5","2718","25957"
"1329","JN626286.1","Sphingomonas_sp._ATCC_31555_","37","0","0","3696","63373"
"1330","LN864819.1","Sphingomonas_sp._ATCC_31555_","57","0","0","3696","63373"
"1331","NZ_KX523901.1","Sphingomonas_sp._ATCC_31555_","12","0","0","3696","63373"
"1332","MT441554.1","Sphingomonas_sp._ATCC_31555_","18","0","0","3696","63373"
"1333","JN626286.1","Clostridium_perfringens_ATCC_13124_","37","53","69","2878","35657"
"1334","LN864819.1","Clostridium_perfringens_ATCC_13124_","57","53","69","2878","35657"
"1335","NZ_KX523901.1","Clostridium_perfringens_ATCC_13124_","12","26","25","2878","35657"
"1336","MT441554.1","Clostridium_perfringens_ATCC_13124_","18","48","47","2878","35657"
"1337","JN626286.1","Haematobacter_massiliensis_","37","29","28","3806","66176"
"1338","LN864819.1","Haematobacter_massiliensis_","57","29","28","3806","66176"
"1339","NZ_KX523901.1","Haematobacter_massiliensis_","12","0","0","3806","66176"
"1340","MT441554.1","Haematobacter_massiliensis_","18","0","0","3806","66176"
"1341","JN626286.1","Synechococcus_sp._PCC_7336_","37","0","0","4062","56570"
"1342","LN864819.1","Synechococcus_sp._PCC_7336_","57","0","0","4062","56570"
"1343","NZ_KX523901.1","Synechococcus_sp._PCC_7336_","12","0","0","4062","56570"
"1344","MT441554.1","Synechococcus_sp._PCC_7336_","18","0","0","4062","56570"
"1345","JN626286.1","Synechococcus_sp._PCC_6312_","37","80","79","3545","38761"
"1346","LN864819.1","Synechococcus_sp._PCC_6312_","57","80","79","3545","38761"
"1347","NZ_KX523901.1","Synechococcus_sp._PCC_6312_","12","0","0","3545","38761"
"1348","MT441554.1","Synechococcus_sp._PCC_6312_","18","0","0","3545","38761"
"1349","JN626286.1","Nocardioides_sp._JS614_","37","0","0","4920","62140"
"1350","LN864819.1","Nocardioides_sp._JS614_","57","0","0","4920","62140"
"1351","NZ_KX523901.1","Nocardioides_sp._JS614_","12","0","0","4920","62140"
"1352","MT441554.1","Nocardioides_sp._JS614_","18","17","16","4920","62140"
"1353","JN626286.1","Burkholderia_sordidicola_","37","0","0","8831","191686"
"1354","LN864819.1","Burkholderia_sordidicola_","57","0","0","8831","191686"
"1355","NZ_KX523901.1","Burkholderia_sordidicola_","12","0","0","8831","191686"
"1356","MT441554.1","Burkholderia_sordidicola_","18","24","23","8831","191686"
"1357","JN626286.1","Bradyrhizobium_sp._Ai1a-2_","37","0","0","7779","159833"
"1358","LN864819.1","Bradyrhizobium_sp._Ai1a-2_","57","0","0","7779","159833"
"1359","NZ_KX523901.1","Bradyrhizobium_sp._Ai1a-2_","12","0","0","7779","159833"
"1360","MT441554.1","Bradyrhizobium_sp._Ai1a-2_","18","0","0","7779","159833"
"1361","JN626286.1","Corynebacterium_glutamicum_ATCC_13032_","37","81","83","3057","32963"
"1362","LN864819.1","Corynebacterium_glutamicum_ATCC_13032_","57","94","96","3057","32963"
"1363","NZ_KX523901.1","Corynebacterium_glutamicum_ATCC_13032_","12","38","37","3057","32963"
"1364","MT441554.1","Corynebacterium_glutamicum_ATCC_13032_","18","60","59","3057","32963"
"1365","JN626286.1","Bacillus_anthracis_str._Ames_","37","124","154","5330","59144"
"1366","LN864819.1","Bacillus_anthracis_str._Ames_","57","124","154","5330","59144"
