"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions"
"757","JN626286.1","Bifidobacterium_merycicum_","37","0","0","1740","23956"
"758","LN864819.1","Bifidobacterium_merycicum_","57","0","0","1740","23956"
"759","NZ_KX523901.1","Bifidobacterium_merycicum_","12","0","0","1740","23956"
"760","MT441554.1","Bifidobacterium_merycicum_","18","10","9","1740","23956"
"761","JN626286.1","Bifidobacterium_ruminantium_","37","0","0","1833","26617"
"762","LN864819.1","Bifidobacterium_ruminantium_","57","0","0","1833","26617"
"763","NZ_KX523901.1","Bifidobacterium_ruminantium_","12","0","0","1833","26617"
"764","MT441554.1","Bifidobacterium_ruminantium_","18","9","8","1833","26617"
"765","JN626286.1","Pectobacterium_carotovorum_subsp._odoriferum_","37","31","30","4304","53385"
"766","LN864819.1","Pectobacterium_carotovorum_subsp._odoriferum_","57","31","30","4304","53385"
"767","NZ_KX523901.1","Pectobacterium_carotovorum_subsp._odoriferum_","12","0","0","4304","53385"
"768","MT441554.1","Pectobacterium_carotovorum_subsp._odoriferum_","18","16","15","4304","53385"
"769","JN626286.1","Pseudanabaena_sp._PCC_7367_","37","18","17","3854","43514"
"770","LN864819.1","Pseudanabaena_sp._PCC_7367_","57","18","17","3854","43514"
"771","NZ_KX523901.1","Pseudanabaena_sp._PCC_7367_","12","0","0","3854","43514"
"772","MT441554.1","Pseudanabaena_sp._PCC_7367_","18","0","0","3854","43514"
"773","JN626286.1","Serratia_grimesii_","37","30","29","4396","71518"
"774","LN864819.1","Serratia_grimesii_","57","30","29","4396","71518"
"775","NZ_KX523901.1","Serratia_grimesii_","12","0","0","4396","71518"
"776","MT441554.1","Serratia_grimesii_","18","30","29","4396","71518"
"777","JN626286.1","Serratia_plymuthica_","37","33","32","4959","61938"
"778","LN864819.1","Serratia_plymuthica_","57","33","32","4959","61938"
"779","NZ_KX523901.1","Serratia_plymuthica_","12","0","0","4959","61938"
"780","MT441554.1","Serratia_plymuthica_","18","18","17","4959","61938"
"781","JN626286.1","Sulfitobacter_mediterraneus_","37","28","27","3649","68448"
"782","LN864819.1","Sulfitobacter_mediterraneus_","57","28","27","3649","68448"
"783","NZ_KX523901.1","Sulfitobacter_mediterraneus_","12","0","0","3649","68448"
"784","MT441554.1","Sulfitobacter_mediterraneus_","18","0","0","3649","68448"
"785","JN626286.1","Mycobacterium_tuberculosis_H37Rv_","37","161","184","4032","97237"
"786","LN864819.1","Mycobacterium_tuberculosis_H37Rv_","57","161","184","4032","97237"
"787","NZ_KX523901.1","Mycobacterium_tuberculosis_H37Rv_","12","84","83","4032","97237"
"788","MT441554.1","Mycobacterium_tuberculosis_H37Rv_","18","107","110","4032","97237"
"789","JN626286.1","gamma_proteobacterium_HdN1_","37","223","244","3763","46422"
"790","LN864819.1","gamma_proteobacterium_HdN1_","57","247","266","3763","46422"
"791","NZ_KX523901.1","gamma_proteobacterium_HdN1_","12","69","68","3763","46422"
"792","MT441554.1","gamma_proteobacterium_HdN1_","18","86","86","3763","46422"
"793","JN626286.1","Lysobacter_antibioticus_","37","75","75","4316","44355"
"794","LN864819.1","Lysobacter_antibioticus_","57","75","75","4316","44355"
"795","NZ_KX523901.1","Lysobacter_antibioticus_","12","52","51","4316","44355"
"796","MT441554.1","Lysobacter_antibioticus_","18","76","79","4316","44355"
"797","JN626286.1","Synechococcus_sp._WH_8102_","37","40","40","2519","29347"
"798","LN864819.1","Synechococcus_sp._WH_8102_","57","40","40","2519","29347"
"799","NZ_KX523901.1","Synechococcus_sp._WH_8102_","12","55","56","2519","29347"
"800","MT441554.1","Synechococcus_sp._WH_8102_","18","55","56","2519","29347"
"801","JN626286.1","Thauera_sp._MZ1T_","37","32","31","4019","61854"
"802","LN864819.1","Thauera_sp._MZ1T_","57","32","31","4019","61854"
"803","NZ_KX523901.1","Thauera_sp._MZ1T_","12","0","0","4019","61854"
"804","MT441554.1","Thauera_sp._MZ1T_","18","31","30","4019","61854"
"805","JN626286.1","Helicobacter_pylori_26695_","37","121","127","1594","27825"
"806","LN864819.1","Helicobacter_pylori_26695_","57","121","127","1594","27825"
"807","NZ_KX523901.1","Helicobacter_pylori_26695_","12","57","56","1594","27825"
"808","MT441554.1","Helicobacter_pylori_26695_","18","57","56","1594","27825"
"809","JN626286.1","Helicobacter_pylori_J99_","37","104","110","1494","21405"
"810","LN864819.1","Helicobacter_pylori_J99_","57","109","114","1494","21405"
"811","NZ_KX523901.1","Helicobacter_pylori_J99_","12","55","54","1494","21405"
"812","MT441554.1","Helicobacter_pylori_J99_","18","55","54","1494","21405"
"813","JN626286.1","endosymbiont_of_Acanthamoeba_sp._UWC8_","37","0","0","1525","18298"
"814","LN864819.1","endosymbiont_of_Acanthamoeba_sp._UWC8_","57","0","0","1525","18298"
"815","NZ_KX523901.1","endosymbiont_of_Acanthamoeba_sp._UWC8_","12","0","0","1525","18298"
"816","MT441554.1","endosymbiont_of_Acanthamoeba_sp._UWC8_","18","0","0","1525","18298"
"817","JN626286.1","Clostridium_pasteurianum_BC1_","37","29","28","4494","49806"
"818","LN864819.1","Clostridium_pasteurianum_BC1_","57","29","28","4494","49806"
"819","NZ_KX523901.1","Clostridium_pasteurianum_BC1_","12","0","0","4494","49806"
"820","MT441554.1","Clostridium_pasteurianum_BC1_","18","0","0","4494","49806"
"821","JN626286.1","Pseudoalteromonas_tunicata_D2_","37","0","0","4513","60966"
"822","LN864819.1","Pseudoalteromonas_tunicata_D2_","57","0","0","4513","60966"
"823","NZ_KX523901.1","Pseudoalteromonas_tunicata_D2_","12","0","0","4513","60966"
"824","MT441554.1","Pseudoalteromonas_tunicata_D2_","18","12","11","4513","60966"
"825","JN626286.1","Roseovarius_nubinhibens_ISM_","37","21","20","3547","63359"
"826","LN864819.1","Roseovarius_nubinhibens_ISM_","57","21","20","3547","63359"
"827","NZ_KX523901.1","Roseovarius_nubinhibens_ISM_","12","0","0","3547","63359"
"828","MT441554.1","Roseovarius_nubinhibens_ISM_","18","0","0","3547","63359"
"829","JN626286.1","Salmonella_enterica_subsp._enterica_serovar_Typhimurium_","37","42","41","4443","72514"
"830","LN864819.1","Salmonella_enterica_subsp._enterica_serovar_Typhimurium_","57","42","41","4443","72514"
"831","NZ_KX523901.1","Salmonella_enterica_subsp._enterica_serovar_Typhimurium_","12","0","0","4443","72514"
"832","MT441554.1","Salmonella_enterica_subsp._enterica_serovar_Typhimurium_","18","31","30","4443","72514"
"833","JN626286.1","Thiomicrospira_sp._Milos-T1_","37","0","0","2189","37647"
"834","LN864819.1","Thiomicrospira_sp._Milos-T1_","57","0","0","2189","37647"
"835","NZ_KX523901.1","Thiomicrospira_sp._Milos-T1_","12","0","0","2189","37647"
"836","MT441554.1","Thiomicrospira_sp._Milos-T1_","18","0","0","2189","37647"
"837","JN626286.1","Thiomicrospira_sp._Milos-T2_","37","0","0","2337","38645"
"838","LN864819.1","Thiomicrospira_sp._Milos-T2_","57","0","0","2337","38645"
"839","NZ_KX523901.1","Thiomicrospira_sp._Milos-T2_","12","0","0","2337","38645"
"840","MT441554.1","Thiomicrospira_sp._Milos-T2_","18","0","0","2337","38645"
"841","JN626286.1","Synechococcus_sp._PCC_7335_","37","24","23","5664","92977"
"842","LN864819.1","Synechococcus_sp._PCC_7335_","57","24","23","5664","92977"
"843","NZ_KX523901.1","Synechococcus_sp._PCC_7335_","12","0","0","5664","92977"
"844","MT441554.1","Synechococcus_sp._PCC_7335_","18","0","0","5664","92977"
"845","JN626286.1","Candidatus_Paracaedibacter_acanthamoebae_","37","0","0","1838","18740"
"846","LN864819.1","Candidatus_Paracaedibacter_acanthamoebae_","57","0","0","1838","18740"
"847","NZ_KX523901.1","Candidatus_Paracaedibacter_acanthamoebae_","12","0","0","1838","18740"
"848","MT441554.1","Candidatus_Paracaedibacter_acanthamoebae_","18","0","0","1838","18740"
"849","JN626286.1","Prochlorococcus_marinus_str._MIT_9201_","37","0","0","1963","26674"
"850","LN864819.1","Prochlorococcus_marinus_str._MIT_9201_","57","0","0","1963","26674"
"851","NZ_KX523901.1","Prochlorococcus_marinus_str._MIT_9201_","12","0","0","1963","26674"
"852","MT441554.1","Prochlorococcus_marinus_str._MIT_9201_","18","0","0","1963","26674"
"853","JN626286.1","Prochlorococcus_marinus_str._MIT_9211_","37","0","0","1855","21606"
"854","LN864819.1","Prochlorococcus_marinus_str._MIT_9211_","57","0","0","1855","21606"
"855","NZ_KX523901.1","Prochlorococcus_marinus_str._MIT_9211_","12","35","45","1855","21606"
"856","MT441554.1","Prochlorococcus_marinus_str._MIT_9211_","18","35","45","1855","21606"
"857","JN626286.1","Prochlorococcus_marinus_str._MIT_9215_","37","0","0","1983","21735"
"858","LN864819.1","Prochlorococcus_marinus_str._MIT_9215_","57","0","0","1983","21735"
"859","NZ_KX523901.1","Prochlorococcus_marinus_str._MIT_9215_","12","31","42","1983","21735"
"860","MT441554.1","Prochlorococcus_marinus_str._MIT_9215_","18","31","42","1983","21735"
"861","JN626286.1","Pandoraea_pnomenusa_","37","27","26","4219","54235"
"862","LN864819.1","Pandoraea_pnomenusa_","57","27","26","4219","54235"
"863","NZ_KX523901.1","Pandoraea_pnomenusa_","12","0","0","4219","54235"
"864","MT441554.1","Pandoraea_pnomenusa_","18","0","0","4219","54235"
"865","JN626286.1","Shewanella_sp._ANA-3_","37","36","35","4360","59596"
"866","LN864819.1","Shewanella_sp._ANA-3_","57","36","35","4360","59596"
"867","NZ_KX523901.1","Shewanella_sp._ANA-3_","12","0","0","4360","59596"
"868","MT441554.1","Shewanella_sp._ANA-3_","18","17","16","4360","59596"
"869","JN626286.1","Bordetella_petrii_","37","96","120","5051","74893"
"870","LN864819.1","Bordetella_petrii_","57","104","129","5051","74893"
"871","NZ_KX523901.1","Bordetella_petrii_","12","0","0","5051","74893"
"872","MT441554.1","Bordetella_petrii_","18","15","14","5051","74893"
"873","JN626286.1","Pseudomonas_sp._M1_","37","0","0","6023","138546"
"874","LN864819.1","Pseudomonas_sp._M1_","57","0","0","6023","138546"
"875","NZ_KX523901.1","Pseudomonas_sp._M1_","12","0","0","6023","138546"
"876","MT441554.1","Pseudomonas_sp._M1_","18","51","50","6023","138546"
"877","JN626286.1","Desulfococcus_oleovorans_Hxd3_","37","34","33","3268","40431"
"878","LN864819.1","Desulfococcus_oleovorans_Hxd3_","57","34","33","3268","40431"
"879","NZ_KX523901.1","Desulfococcus_oleovorans_Hxd3_","12","0","0","3268","40431"
"880","MT441554.1","Desulfococcus_oleovorans_Hxd3_","18","0","0","3268","40431"
"881","JN626286.1","Lactobacillus_sp._ASF360_","37","0","0","1930","29841"
"882","LN864819.1","Lactobacillus_sp._ASF360_","57","0","0","1930","29841"
"883","NZ_KX523901.1","Lactobacillus_sp._ASF360_","12","0","0","1930","29841"
"884","MT441554.1","Lactobacillus_sp._ASF360_","18","0","0","1930","29841"
"885","JN626286.1","Clostridium_sp._ASF356_","37","0","0","2806","41928"
"886","LN864819.1","Clostridium_sp._ASF356_","57","0","0","2806","41928"
"887","NZ_KX523901.1","Clostridium_sp._ASF356_","12","0","0","2806","41928"
"888","MT441554.1","Clostridium_sp._ASF356_","18","0","0","2806","41928"
"889","JN626286.1","Clostridium_sp._ASF502_","37","0","0","6100","82823"
"890","LN864819.1","Clostridium_sp._ASF502_","57","0","0","6100","82823"
"891","NZ_KX523901.1","Clostridium_sp._ASF502_","12","0","0","6100","82823"
"892","MT441554.1","Clostridium_sp._ASF502_","18","0","0","6100","82823"
"893","JN626286.1","Fischerella_thermalis_PCC_7521_","37","0","0","4586","86321"
"894","LN864819.1","Fischerella_thermalis_PCC_7521_","57","0","0","4586","86321"
"895","NZ_KX523901.1","Fischerella_thermalis_PCC_7521_","12","0","0","4586","86321"
"896","MT441554.1","Fischerella_thermalis_PCC_7521_","18","0","0","4586","86321"
"897","JN626286.1","Calothrix_sp._PCC_7507_","37","22","21","5950","65086"
"898","LN864819.1","Calothrix_sp._PCC_7507_","57","22","21","5950","65086"
"899","NZ_KX523901.1","Calothrix_sp._PCC_7507_","12","0","0","5950","65086"
"900","MT441554.1","Calothrix_sp._PCC_7507_","18","0","0","5950","65086"
"901","JN626286.1","Streptomyces_coelicolor_A3","37","0","0","7825","111229"
"902","LN864819.1","Streptomyces_coelicolor_A3","57","0","0","7825","111229"
"903","NZ_KX523901.1","Streptomyces_coelicolor_A3","12","0","0","7825","111229"
"904","MT441554.1","Streptomyces_coelicolor_A3","18","0","0","7825","111229"
"905","JN626286.1","Wolbachia_endosymbiont_of_Onchocerca_ochengi_","37","0","0","647","11920"
"906","LN864819.1","Wolbachia_endosymbiont_of_Onchocerca_ochengi_","57","0","0","647","11920"
"907","NZ_KX523901.1","Wolbachia_endosymbiont_of_Onchocerca_ochengi_","12","0","0","647","11920"
"908","MT441554.1","Wolbachia_endosymbiont_of_Onchocerca_ochengi_","18","0","0","647","11920"
"909","JN626286.1","Rhodococcus_jostii_RHA1_","37","24","23","7545","162642"
"910","LN864819.1","Rhodococcus_jostii_RHA1_","57","24","23","7545","162642"
"911","NZ_KX523901.1","Rhodococcus_jostii_RHA1_","12","0","0","7545","162642"
"912","MT441554.1","Rhodococcus_jostii_RHA1_","18","9","8","7545","162642"
"913","JN626286.1","Xenococcus_sp._PCC_7305_","37","21","20","5372","84568"
"914","LN864819.1","Xenococcus_sp._PCC_7305_","57","21","20","5372","84568"
"915","NZ_KX523901.1","Xenococcus_sp._PCC_7305_","12","0","0","5372","84568"
"916","MT441554.1","Xenococcus_sp._PCC_7305_","18","0","0","5372","84568"
"917","JN626286.1","Leptolyngbya_sp._PCC_7375_","37","22","21","7827","147933"
"918","LN864819.1","Leptolyngbya_sp._PCC_7375_","57","22","21","7827","147933"
"919","NZ_KX523901.1","Leptolyngbya_sp._PCC_7375_","12","0","0","7827","147933"
"920","MT441554.1","Leptolyngbya_sp._PCC_7375_","18","0","0","7827","147933"
"921","JN626286.1","Gloeocapsa_sp._PCC_73106_","37","22","21","4087","61739"
"922","LN864819.1","Gloeocapsa_sp._PCC_73106_","57","22","21","4087","61739"
"923","NZ_KX523901.1","Gloeocapsa_sp._PCC_73106_","12","0","0","4087","61739"
"924","MT441554.1","Gloeocapsa_sp._PCC_73106_","18","0","0","4087","61739"
"925","JN626286.1","Saccharothrix_syringae_","37","0","0","9174","205239"
"926","LN864819.1","Saccharothrix_syringae_","57","0","0","9174","205239"
"927","NZ_KX523901.1","Saccharothrix_syringae_","12","0","0","9174","205239"
"928","MT441554.1","Saccharothrix_syringae_","18","0","0","9174","205239"
"929","JN626286.1","Serratia_sp._ATCC_39006_","37","34","33","4413","61372"
"930","LN864819.1","Serratia_sp._ATCC_39006_","57","34","33","4413","61372"
"931","NZ_KX523901.1","Serratia_sp._ATCC_39006_","12","0","0","4413","61372"
"932","MT441554.1","Serratia_sp._ATCC_39006_","18","11","10","4413","61372"
"933","JN626286.1","Streptacidiphilus_neutrinimicus_","37","0","0","7655","143696"
"934","LN864819.1","Streptacidiphilus_neutrinimicus_","57","0","0","7655","143696"
"935","NZ_KX523901.1","Streptacidiphilus_neutrinimicus_","12","0","0","7655","143696"
"936","MT441554.1","Streptacidiphilus_neutrinimicus_","18","0","0","7655","143696"
"937","JN626286.1","Streptacidiphilus_carbonis_","37","0","0","7459","138450"
"938","LN864819.1","Streptacidiphilus_carbonis_","57","0","0","7459","138450"
"939","NZ_KX523901.1","Streptacidiphilus_carbonis_","12","0","0","7459","138450"
"940","MT441554.1","Streptacidiphilus_carbonis_","18","0","0","7459","138450"
"941","JN626286.1","Streptacidiphilus_albus_","37","0","0","8262","151971"
"942","LN864819.1","Streptacidiphilus_albus_","57","0","0","8262","151971"
"943","NZ_KX523901.1","Streptacidiphilus_albus_","12","0","0","8262","151971"
"944","MT441554.1","Streptacidiphilus_albus_","18","0","0","8262","151971"
"945","JN626286.1","Nitrosococcus_watsonii_C-113_","37","0","0","2873","39292"
"946","LN864819.1","Nitrosococcus_watsonii_C-113_","57","0","0","2873","39292"
"947","NZ_KX523901.1","Nitrosococcus_watsonii_C-113_","12","0","0","2873","39292"
"948","MT441554.1","Nitrosococcus_watsonii_C-113_","18","15","14","2873","39292"
"949","JN626286.1","Frankia_sp._CcI3_","37","0","0","4499","53962"
"950","LN864819.1","Frankia_sp._CcI3_","57","0","0","4499","53962"
"951","NZ_KX523901.1","Frankia_sp._CcI3_","12","0","0","4499","53962"
"952","MT441554.1","Frankia_sp._CcI3_","18","0","0","4499","53962"
"953","JN626286.1","Acinetobacter_bereziniae_","37","29","28","4560","76358"
"954","LN864819.1","Acinetobacter_bereziniae_","57","48","51","4560","76358"
"955","NZ_KX523901.1","Acinetobacter_bereziniae_","12","0","0","4560","76358"
"956","MT441554.1","Acinetobacter_bereziniae_","18","23","22","4560","76358"
"957","JN626286.1","Methylosinus_sp._LW3_","37","0","0","4359","75850"
"958","LN864819.1","Methylosinus_sp._LW3_","57","0","0","4359","75850"
"959","NZ_KX523901.1","Methylosinus_sp._LW3_","12","0","0","4359","75850"
"960","MT441554.1","Methylosinus_sp._LW3_","18","0","0","4359","75850"
"961","JN626286.1","Methylosinus_sp._PW1_","37","0","0","4535","65167"
"962","LN864819.1","Methylosinus_sp._PW1_","57","0","0","4535","65167"
"963","NZ_KX523901.1","Methylosinus_sp._PW1_","12","0","0","4535","65167"
"964","MT441554.1","Methylosinus_sp._PW1_","18","0","0","4535","65167"
"965","JN626286.1","Nocardioides_sp._CF8_","37","0","0","3893","62331"
"966","LN864819.1","Nocardioides_sp._CF8_","57","0","0","3893","62331"
"967","NZ_KX523901.1","Nocardioides_sp._CF8_","12","0","0","3893","62331"
"968","MT441554.1","Nocardioides_sp._CF8_","18","8","7","3893","62331"
"969","JN626286.1","Synechococcus_sp._CC9605_","37","0","0","2638","28659"
"970","LN864819.1","Synechococcus_sp._CC9605_","57","0","0","2638","28659"
"971","NZ_KX523901.1","Synechococcus_sp._CC9605_","12","0","0","2638","28659"
"972","MT441554.1","Synechococcus_sp._CC9605_","18","0","0","2638","28659"
"973","JN626286.1","Synechococcus_sp._CC9616_","37","0","0","2513","35356"
"974","LN864819.1","Synechococcus_sp._CC9616_","57","0","0","2513","35356"
"975","NZ_KX523901.1","Synechococcus_sp._CC9616_","12","0","0","2513","35356"
"976","MT441554.1","Synechococcus_sp._CC9616_","18","0","0","2513","35356"
"977","JN626286.1","Porphyromonas_gulae_","37","0","0","1953","33330"
"978","LN864819.1","Porphyromonas_gulae_","57","0","0","1953","33330"
"979","NZ_KX523901.1","Porphyromonas_gulae_","12","0","0","1953","33330"
"980","MT441554.1","Porphyromonas_gulae_","18","0","0","1953","33330"
"981","JN626286.1","Stanieria_cyanosphaera_PCC_7437_","37","20","19","4331","60250"
"982","LN864819.1","Stanieria_cyanosphaera_PCC_7437_","57","20","19","4331","60250"
"983","NZ_KX523901.1","Stanieria_cyanosphaera_PCC_7437_","12","0","0","4331","60250"
"984","MT441554.1","Stanieria_cyanosphaera_PCC_7437_","18","0","0","4331","60250"
"985","JN626286.1","Leptolyngbya_sp._PCC_7376_","37","20","19","4228","48515"
"986","LN864819.1","Leptolyngbya_sp._PCC_7376_","57","20","19","4228","48515"
"987","NZ_KX523901.1","Leptolyngbya_sp._PCC_7376_","12","0","0","4228","48515"
"988","MT441554.1","Leptolyngbya_sp._PCC_7376_","18","0","0","4228","48515"
"989","JN626286.1","Geminocystis_herdmanii_PCC_6308_","37","0","0","4150","71883"
"990","LN864819.1","Geminocystis_herdmanii_PCC_6308_","57","0","0","4150","71883"
"991","NZ_KX523901.1","Geminocystis_herdmanii_PCC_6308_","12","0","0","4150","71883"
"992","MT441554.1","Geminocystis_herdmanii_PCC_6308_","18","0","0","4150","71883"
"993","JN626286.1","Bradyrhizobium_sp._Tv2a-2_","37","0","0","7231","144995"
"994","LN864819.1","Bradyrhizobium_sp._Tv2a-2_","57","0","0","7231","144995"
"995","NZ_KX523901.1","Bradyrhizobium_sp._Tv2a-2_","12","0","0","7231","144995"
"996","MT441554.1","Bradyrhizobium_sp._Tv2a-2_","18","0","0","7231","144995"
"997","JN626286.1","Bradyrhizobium_sp._ORS_278_","37","127","163","6727","136014"
"998","LN864819.1","Bradyrhizobium_sp._ORS_278_","57","132","171","6727","136014"
"999","NZ_KX523901.1","Bradyrhizobium_sp._ORS_278_","12","72","71","6727","136014"
"1000","MT441554.1","Bradyrhizobium_sp._ORS_278_","18","105","112","6727","136014"
"1001","JN626286.1","Chlamydophila_pneumoniae_AR39_","37","55","57","1110","11928"
"1002","LN864819.1","Chlamydophila_pneumoniae_AR39_","57","55","57","1110","11928"
"1003","NZ_KX523901.1","Chlamydophila_pneumoniae_AR39_","12","42","41","1110","11928"
"1004","MT441554.1","Chlamydophila_pneumoniae_AR39_","18","47","46","1110","11928"
"1005","JN626286.1","Chlamydophila_pneumoniae_CWL029_","37","62","64","1055","13909"
"1006","LN864819.1","Chlamydophila_pneumoniae_CWL029_","57","62","64","1055","13909"
"1007","NZ_KX523901.1","Chlamydophila_pneumoniae_CWL029_","12","45","44","1055","13909"
"1008","MT441554.1","Chlamydophila_pneumoniae_CWL029_","18","50","49","1055","13909"
"1009","JN626286.1","Chrysiogenes_arsenatis_DSM_11915_","37","0","0","2473","56168"
"1010","LN864819.1","Chrysiogenes_arsenatis_DSM_11915_","57","0","0","2473","56168"
"1011","NZ_KX523901.1","Chrysiogenes_arsenatis_DSM_11915_","12","0","0","2473","56168"
"1012","MT441554.1","Chrysiogenes_arsenatis_DSM_11915_","18","0","0","2473","56168"
"1013","JN626286.1","Pleurocapsa_sp._PCC_7319_","37","0","0","6670","121704"
"1014","LN864819.1","Pleurocapsa_sp._PCC_7319_","57","0","0","6670","121704"
"1015","NZ_KX523901.1","Pleurocapsa_sp._PCC_7319_","12","0","0","6670","121704"
"1016","MT441554.1","Pleurocapsa_sp._PCC_7319_","18","0","0","6670","121704"
"1017","JN626286.1","Pleurocapsa_sp._PCC_7327_","37","23","22","4268","53661"
"1018","LN864819.1","Pleurocapsa_sp._PCC_7327_","57","23","22","4268","53661"
"1019","NZ_KX523901.1","Pleurocapsa_sp._PCC_7327_","12","0","0","4268","53661"
"1020","MT441554.1","Pleurocapsa_sp._PCC_7327_","18","0","0","4268","53661"
"1021","JN626286.1","Nodosilinea_nodulosa_PCC_7104_","37","0","0","5533","115439"
"1022","LN864819.1","Nodosilinea_nodulosa_PCC_7104_","57","0","0","5533","115439"
"1023","NZ_KX523901.1","Nodosilinea_nodulosa_PCC_7104_","12","0","0","5533","115439"
"1024","MT441554.1","Nodosilinea_nodulosa_PCC_7104_","18","0","0","5533","115439"
"1025","JN626286.1","Coleofasciculus_chthonoplastes_PCC_7420_","37","23","22","8310","153241"
"1026","LN864819.1","Coleofasciculus_chthonoplastes_PCC_7420_","57","23","22","8310","153241"
"1027","NZ_KX523901.1","Coleofasciculus_chthonoplastes_PCC_7420_","12","0","0","8310","153241"
"1028","MT441554.1","Coleofasciculus_chthonoplastes_PCC_7420_","18","0","0","8310","153241"
"1029","JN626286.1","Pseudanabaena_sp._PCC_6802_","37","0","0","5169","87613"
"1030","LN864819.1","Pseudanabaena_sp._PCC_6802_","57","0","0","5169","87613"
"1031","NZ_KX523901.1","Pseudanabaena_sp._PCC_6802_","12","0","0","5169","87613"
"1032","MT441554.1","Pseudanabaena_sp._PCC_6802_","18","0","0","5169","87613"
"1033","JN626286.1","Persephonella_marina_EX-H1_","37","50","48","2053","28530"
"1034","LN864819.1","Persephonella_marina_EX-H1_","57","50","48","2053","28530"
"1035","NZ_KX523901.1","Persephonella_marina_EX-H1_","12","0","0","2053","28530"
"1036","MT441554.1","Persephonella_marina_EX-H1_","18","25","24","2053","28530"
"1037","JN626286.1","Bordetella_trematum_","37","42","40","3740","47863"
"1038","LN864819.1","Bordetella_trematum_","57","42","40","3740","47863"
"1039","NZ_KX523901.1","Bordetella_trematum_","12","0","0","3740","47863"
"1040","MT441554.1","Bordetella_trematum_","18","40","39","3740","47863"
"1041","JN626286.1","Kocuria_polaris_","37","0","0","3021","42035"
"1042","LN864819.1","Kocuria_polaris_","57","0","0","3021","42035"
"1043","NZ_KX523901.1","Kocuria_polaris_","12","0","0","3021","42035"
"1044","MT441554.1","Kocuria_polaris_","18","0","0","3021","42035"
"1045","JN626286.1","Methylosinus_sp._LW4_","37","0","0","4159","65795"
"1046","LN864819.1","Methylosinus_sp._LW4_","57","0","0","4159","65795"
"1047","NZ_KX523901.1","Methylosinus_sp._LW4_","12","0","0","4159","65795"
"1048","MT441554.1","Methylosinus_sp._LW4_","18","0","0","4159","65795"
"1049","JN626286.1","Desulfitobacterium_hafniense_Y51_","37","69","68","5077","72382"
"1050","LN864819.1","Desulfitobacterium_hafniense_Y51_","57","69","68","5077","72382"
"1051","NZ_KX523901.1","Desulfitobacterium_hafniense_Y51_","12","0","0","5077","72382"
"1052","MT441554.1","Desulfitobacterium_hafniense_Y51_","18","0","0","5077","72382"
"1053","JN626286.1","Lachnobacterium_bovis_","37","0","0","2748","50371"
"1054","LN864819.1","Lachnobacterium_bovis_","57","0","0","2748","50371"
"1055","NZ_KX523901.1","Lachnobacterium_bovis_","12","0","0","2748","50371"
"1056","MT441554.1","Lachnobacterium_bovis_","18","0","0","2748","50371"
"1057","JN626286.1","Zobellia_uliginosa_","37","0","0","4340","70588"
"1058","LN864819.1","Zobellia_uliginosa_","57","0","0","4340","70588"
"1059","NZ_KX523901.1","Zobellia_uliginosa_","12","0","0","4340","70588"
"1060","MT441554.1","Zobellia_uliginosa_","18","0","0","4340","70588"
"1061","JN626286.1","Prochlorococcus_marinus_str._AS9601_","37","0","0","1921","28490"
"1062","LN864819.1","Prochlorococcus_marinus_str._AS9601_","57","0","0","1921","28490"
"1063","NZ_KX523901.1","Prochlorococcus_marinus_str._AS9601_","12","31","42","1921","28490"
"1064","MT441554.1","Prochlorococcus_marinus_str._AS9601_","18","31","42","1921","28490"
"1065","JN626286.1","Streptomyces_griseofuscus_","37","0","0","7996","150012"
"1066","LN864819.1","Streptomyces_griseofuscus_","57","0","0","7996","150012"
"1067","NZ_KX523901.1","Streptomyces_griseofuscus_","12","0","0","7996","150012"
"1068","MT441554.1","Streptomyces_griseofuscus_","18","0","0","7996","150012"
"1069","JN626286.1","Lactobacillus_kunkeei_","37","24","23","1361","17451"
"1070","LN864819.1","Lactobacillus_kunkeei_","57","24","23","1361","17451"
"1071","NZ_KX523901.1","Lactobacillus_kunkeei_","12","0","0","1361","17451"
"1072","MT441554.1","Lactobacillus_kunkeei_","18","21","20","1361","17451"
"1073","JN626286.1","Kozakia_baliensis_","37","16","15","2947","31716"
"1074","LN864819.1","Kozakia_baliensis_","57","16","15","2947","31716"
"1075","NZ_KX523901.1","Kozakia_baliensis_","12","0","0","2947","31716"
"1076","MT441554.1","Kozakia_baliensis_","18","0","0","2947","31716"
"1077","JN626286.1","Sporocytophaga_myxococcoides_","37","0","0","5042","80301"
"1078","LN864819.1","Sporocytophaga_myxococcoides_","57","0","0","5042","80301"
"1079","NZ_KX523901.1","Sporocytophaga_myxococcoides_","12","0","0","5042","80301"
"1080","MT441554.1","Sporocytophaga_myxococcoides_","18","0","0","5042","80301"
"1081","JN626286.1","Nitrosomonas_sp._AL212_","37","0","0","2918","28318"
"1082","LN864819.1","Nitrosomonas_sp._AL212_","57","0","0","2918","28318"
"1083","NZ_KX523901.1","Nitrosomonas_sp._AL212_","12","0","0","2918","28318"
"1084","MT441554.1","Nitrosomonas_sp._AL212_","18","15","14","2918","28318"
"1085","JN626286.1","Gallibacterium_genomosp._1_","37","27","26","2072","32156"
"1086","LN864819.1","Gallibacterium_genomosp._1_","57","27","26","2072","32156"
"1087","NZ_KX523901.1","Gallibacterium_genomosp._1_","12","0","0","2072","32156"
